SnappedTime,Avg Right X,Avg Right Y,Avg Left X,Avg Left Y
0.0,,,,
20.0,241.7848333333333,257.7900666666667,241.7848333333333,257.7900666666667
40.0,363.85339999999997,385.92595,363.85339999999997,385.92595
60.0,241.42353333333335,249.0171,241.42353333333335,249.0171
80.0,362.9466,408.08795,362.9466,408.08795
100.0,242.95576666666668,255.04423333333332,242.95576666666668,255.04423333333332
120.0,362.53830000000005,379.62005,362.53830000000005,379.62005
140.0,243.7891666666667,260.50553333333335,243.7891666666667,260.50553333333335
160.0,363.00775,382.72665,363.00775,382.72665
180.0,363.16805,391.14374999999995,363.16805,391.14374999999995
200.0,245.80973333333336,261.5689,245.80973333333336,261.5689
220.0,380.8396,389.8713,380.8396,389.8713
240.0,333.7040666666667,258.7205666666667,333.7040666666667,258.7205666666667
260.0,501.7074,408.0886,501.7074,408.0886
280.0,386.3828333333333,307.5023,386.3828333333333,307.5023
300.0,622.0625,476.58275000000003,622.0625,476.58275000000003
320.0,418.1395,319.15313333333336,418.1395,319.15313333333336
340.0,634.0621,482.52645,634.0621,482.52645
360.0,420.39473333333336,315.7656,420.39473333333336,315.7656
380.0,635.12405,482.38325000000003,635.12405,482.38325000000003
400.0,636.6973,472.79999999999995,636.6973,472.79999999999995
420.0,426.28343333333333,311.1847,426.28343333333333,311.1847
440.0,638.2283500000001,476.8643,638.2283500000001,476.8643
460.0,426.542,315.2014,426.542,315.2014
480.0,639.12755,476.40385000000003,639.12755,476.40385000000003
500.0,426.1480333333334,313.2715666666667,426.1480333333334,313.2715666666667
520.0,638.1277,472.1409,638.1277,472.1409
540.0,426.2387333333333,324.22116666666665,426.2387333333333,324.22116666666665
560.0,640.0824,467.51415,640.0824,467.51415
580.0,425.6195666666667,300.43210000000005,425.6195666666667,300.43210000000005
600.0,631.6047,472.11799999999994,631.6047,472.11799999999994
620.0,644.12845,469.5721,644.12845,469.5721
640.0,421.9400666666667,308.1854333333334,421.9400666666667,308.1854333333334
660.0,635.6334999999999,480.66235,635.6334999999999,480.66235
680.0,424.85666666666674,304.9674,424.85666666666674,304.9674
700.0,630.65245,459.7948,630.65245,459.7948
720.0,423.82553333333334,304.84953333333334,423.82553333333334,304.84953333333334
740.0,637.7850000000001,478.0541,637.7850000000001,478.0541
760.0,425.34386666666666,322.2571,425.34386666666666,322.2571
780.0,634.20865,467.8262,634.20865,467.8262
800.0,617.9491,472.04525,617.9491,472.04525
820.0,194.54645,253.7464,194.54645,253.7464
860.0,0.0,0.0,0.0,0.0
900.0,0.0,0.0,0.0,0.0
940.0,0.0,0.0,0.0,0.0
980.0,0.0,0.0,0.0,0.0
1040.0,0.0,0.0,0.0,0.0
1080.0,0.0,0.0,0.0,0.0
1120.0,0.0,0.0,0.0,0.0
1160.0,0.0,0.0,0.0,0.0
1200.0,0.0,0.0,0.0,0.0
1260.0,0.0,0.0,0.0,0.0
1300.0,0.0,0.0,0.0,0.0
1340.0,0.0,0.0,0.0,0.0
1380.0,0.0,0.0,0.0,0.0
1420.0,0.0,0.0,0.0,0.0
1440.0,69.3126,877.3461,69.3126,877.3461
1460.0,95.2575,641.9365,95.2575,641.9365
1480.0,111.92025,291.85065,111.92025,291.85065
1500.0,217.4396,648.9739,217.4396,648.9739
1520.0,93.5925,313.8827,93.5925,313.8827
1540.0,218.9238,629.6974,218.9238,629.6974
1560.0,107.44465,299.4401,107.44465,299.4401
1580.0,210.8799,566.6182,210.8799,566.6182
1600.0,109.52765,302.6713,109.52765,302.6713
1620.0,198.2631,562.0908,198.2631,562.0908
1640.0,105.8568,279.50045,105.8568,279.50045
1660.0,219.524,571.2846,219.524,571.2846
1680.0,219.3333,589.5725,219.3333,589.5725
1700.0,108.9131,294.40415,108.9131,294.40415
1720.0,211.0419,580.6865,211.0419,580.6865
1740.0,107.5329,288.3132,107.5329,288.3132
1760.0,310.132,577.8956,310.132,577.8956
1780.0,226.91865,250.7833,226.91865,250.7833
1800.0,604.6071,570.9548,604.6071,570.9548
1820.0,259.5756,245.71895,259.5756,245.71895
